timestamp,value
2026-02-15 22:44:06.391713,530
2026-02-15 22:44:06.391899,534
2026-02-15 22:44:06.392044,536
2026-02-15 22:44:06.392102,537
2026-02-15 22:44:06.392155,541
2026-02-15 22:44:06.392204,538
2026-02-15 22:44:06.392251,534
2026-02-15 22:44:06.392297,530
2026-02-15 22:44:06.392342,525
2026-02-15 22:44:06.392387,522
2026-02-15 22:44:06.392432,520
2026-02-15 22:44:06.392479,524
2026-02-15 22:44:06.392524,526
2026-02-15 22:44:06.392569,526
2026-02-15 22:44:06.392616,531
2026-02-15 22:44:06.392662,532
2026-02-15 22:44:06.392707,524
2026-02-15 22:44:06.392753,520
2026-02-15 22:44:06.392798,515
2026-02-15 22:44:06.392844,513
2026-02-15 22:44:06.392888,513
2026-02-15 22:44:06.392934,516
2026-02-15 22:44:06.392979,518
2026-02-15 22:44:06.393023,523
2026-02-15 22:44:06.393090,525
2026-02-15 22:44:06.393188,526
2026-02-15 22:44:06.393282,523
2026-02-15 22:44:06.393334,517
2026-02-15 22:44:06.393403,517
2026-02-15 22:44:06.393451,510
2026-02-15 22:44:06.393558,502
2026-02-15 22:44:06.393607,499
2026-02-15 22:44:06.393649,503
2026-02-15 22:44:06.393690,508
2026-02-15 22:44:06.393730,515
2026-02-15 22:44:06.393770,520
2026-02-15 22:44:06.393809,522
2026-02-15 22:44:06.393863,524
2026-02-15 22:44:06.393903,520
2026-02-15 22:44:06.393942,516
2026-02-15 22:44:06.393983,510
2026-02-15 22:44:06.394022,512
2026-02-15 22:44:06.394062,516
2026-02-15 22:44:06.394102,516
2026-02-15 22:44:06.394142,521
2026-02-15 22:44:06.394181,522
2026-02-15 22:44:06.394221,516
2026-02-15 22:44:06.394272,517
2026-02-15 22:44:06.394318,513
2026-02-15 22:44:06.394358,515
2026-02-15 22:44:06.394404,507
2026-02-15 22:44:06.394455,508
2026-02-15 22:44:06.394505,510
2026-02-15 22:44:06.394543,512
2026-02-15 22:44:06.394582,511
2026-02-15 22:44:06.394621,517
2026-02-15 22:44:06.394660,518
2026-02-15 22:44:06.394699,514
2026-02-15 22:44:06.394738,517
2026-02-15 22:44:06.394776,514
2026-02-15 22:44:06.394815,509
2026-02-15 22:44:06.394853,504
2026-02-15 22:44:06.394905,502
2026-02-15 22:44:06.394950,506
2026-02-15 22:44:06.395008,514
2026-02-15 22:44:06.395047,524
2026-02-15 22:44:06.395094,530
2026-02-15 22:44:06.395132,528
2026-02-15 22:44:06.395171,521
2026-02-15 22:44:06.395209,517
2026-02-15 22:44:06.395261,513
2026-02-15 22:44:06.395300,509
2026-02-15 22:44:06.395338,509
2026-02-15 22:44:06.395385,511
2026-02-15 22:44:06.395424,514
2026-02-15 22:44:06.395461,520
2026-02-15 22:44:06.395503,526
