timestamp,value
2026-02-17 02:25:16.852053,517
2026-02-17 02:25:16.852344,508
2026-02-17 02:25:16.852432,509
2026-02-17 02:25:16.852484,509
2026-02-17 02:25:16.852547,507
2026-02-17 02:25:16.852607,521
2026-02-17 02:25:16.852655,518
2026-02-17 02:25:16.852702,514
2026-02-17 02:25:16.852748,527
2026-02-17 02:25:16.852806,506
2026-02-17 02:25:16.852865,516
2026-02-17 02:25:16.852919,520
2026-02-17 02:25:16.852971,508
2026-02-17 02:25:16.853018,514
2026-02-17 02:25:16.853079,517
2026-02-17 02:25:16.853124,519
2026-02-17 02:25:16.853190,518
2026-02-17 02:25:16.853236,506
2026-02-17 02:25:16.853288,517
2026-02-17 02:25:16.853335,510
2026-02-17 02:25:16.853381,520
2026-02-17 02:25:16.853426,519
2026-02-17 02:25:16.853471,506
2026-02-17 02:25:16.853517,513
2026-02-17 02:25:16.853564,503
2026-02-17 02:25:16.853609,508
2026-02-17 02:25:16.853656,506
2026-02-17 02:25:16.853702,510
2026-02-17 02:25:16.853746,510
2026-02-17 02:25:16.853798,511
2026-02-17 02:25:16.853842,505
2026-02-17 02:25:16.853888,507
2026-02-17 02:25:16.853933,512
2026-02-17 02:25:16.853978,511
2026-02-17 02:25:16.854024,516
2026-02-17 02:25:16.854070,509
2026-02-17 02:25:16.854114,512
2026-02-17 02:25:16.854158,511
2026-02-17 02:25:16.854203,517
2026-02-17 02:25:16.854247,517
2026-02-17 02:25:16.854294,518
2026-02-17 02:25:16.854338,519
2026-02-17 02:25:16.854383,509
2026-02-17 02:25:16.854426,517
2026-02-17 02:25:16.854470,508
2026-02-17 02:25:16.854514,515
2026-02-17 02:25:16.854558,506
2026-02-17 02:25:16.860982,531
2026-02-17 02:25:16.869137,520
2026-02-17 02:25:16.877127,485
2026-02-17 02:25:16.885035,523
2026-02-17 02:25:16.893010,505
2026-02-17 02:25:16.901090,509
2026-02-17 02:25:16.909128,517
2026-02-17 02:25:16.917155,498
2026-02-17 02:25:16.924985,519
2026-02-17 02:25:16.933019,510
2026-02-17 02:25:16.941016,542
2026-02-17 02:25:16.949009,542
2026-02-17 02:25:16.956998,512
2026-02-17 02:25:16.965040,507
2026-02-17 02:25:16.973038,506
2026-02-17 02:25:16.981014,490
2026-02-17 02:25:16.988988,516
2026-02-17 02:25:16.996991,529
2026-02-17 02:25:17.005008,497
2026-02-17 02:25:17.012999,531
2026-02-17 02:25:17.020986,527
2026-02-17 02:25:17.029041,498
2026-02-17 02:25:17.036956,514
2026-02-17 02:25:17.045035,517
2026-02-17 02:25:17.052982,507
2026-02-17 02:25:17.061079,509
2026-02-17 02:25:17.069004,522
2026-02-17 02:25:17.077046,510
2026-02-17 02:25:17.085045,516
2026-02-17 02:25:17.093069,519
2026-02-17 02:25:17.101072,504
