timestamp,value
2026-02-17 02:27:48.922254,515
2026-02-17 02:27:48.922486,524
2026-02-17 02:27:48.922603,518
2026-02-17 02:27:48.922700,518
2026-02-17 02:27:48.922813,519
2026-02-17 02:27:48.922904,513
2026-02-17 02:27:48.922997,519
2026-02-17 02:27:48.923086,510
2026-02-17 02:27:48.923173,504
2026-02-17 02:27:48.923260,516
2026-02-17 02:27:48.923356,517
2026-02-17 02:27:48.923445,507
2026-02-17 02:27:48.923541,513
2026-02-17 02:27:48.923626,520
2026-02-17 02:27:48.923712,521
2026-02-17 02:27:48.923797,514
2026-02-17 02:27:48.923898,522
2026-02-17 02:27:48.923986,512
2026-02-17 02:27:48.924072,504
2026-02-17 02:27:48.924157,513
2026-02-17 02:27:48.924243,514
2026-02-17 02:27:48.924329,519
2026-02-17 02:27:48.924414,512
2026-02-17 02:27:48.924499,515
2026-02-17 02:27:48.924586,516
2026-02-17 02:27:48.924672,516
2026-02-17 02:27:48.924757,518
2026-02-17 02:27:48.924842,517
2026-02-17 02:27:48.924926,508
2026-02-17 02:27:48.925012,521
2026-02-17 02:27:48.925103,514
2026-02-17 02:27:48.925151,518
2026-02-17 02:27:48.925184,518
2026-02-17 02:27:48.925217,514
2026-02-17 02:27:48.925249,516
2026-02-17 02:27:48.925282,511
2026-02-17 02:27:48.925315,505
2026-02-17 02:27:48.925348,516
2026-02-17 02:27:48.925380,520
2026-02-17 02:27:48.925413,519
2026-02-17 02:27:48.925446,509
2026-02-17 02:27:48.925479,512
2026-02-17 02:27:48.925511,513
2026-02-17 02:27:48.925544,511
2026-02-17 02:27:48.925576,516
2026-02-17 02:27:48.925609,504
2026-02-17 02:27:48.925641,515
2026-02-17 02:27:48.931073,517
2026-02-17 02:27:48.939099,514
2026-02-17 02:27:48.947127,512
2026-02-17 02:27:48.955094,505
2026-02-17 02:27:48.963074,510
2026-02-17 02:27:48.971062,514
2026-02-17 02:27:48.979067,511
2026-02-17 02:27:48.987077,513
2026-02-17 02:27:48.995251,515
2026-02-17 02:27:49.003117,514
2026-02-17 02:27:49.011147,520
2026-02-17 02:27:49.019092,524
2026-02-17 02:27:49.027078,509
2026-02-17 02:27:49.035089,512
2026-02-17 02:27:49.043131,512
2026-02-17 02:27:49.051092,504
2026-02-17 02:27:49.059117,508
2026-02-17 02:27:49.067148,521
2026-02-17 02:27:49.075147,512
2026-02-17 02:27:49.083199,513
2026-02-17 02:27:49.091125,510
2026-02-17 02:27:49.099132,512
2026-02-17 02:27:49.107149,523
2026-02-17 02:27:49.115167,514
2026-02-17 02:27:49.123145,513
2026-02-17 02:27:49.131154,509
2026-02-17 02:27:49.139140,501
2026-02-17 02:27:49.147150,504
2026-02-17 02:27:49.155206,505
2026-02-17 02:27:49.163184,516
2026-02-17 02:27:49.171210,506
2026-02-17 02:27:49.179214,508
2026-02-17 02:27:49.187182,514
2026-02-17 02:27:49.195159,506
2026-02-17 02:27:49.203163,517
2026-02-17 02:27:49.211174,517
2026-02-17 02:27:49.219171,514
2026-02-17 02:27:49.227214,518
2026-02-17 02:27:49.235126,508
2026-02-17 02:27:49.243134,521
2026-02-17 02:27:49.251097,521
2026-02-17 02:27:49.259061,517
2026-02-17 02:27:49.267094,515
2026-02-17 02:27:49.275119,502
2026-02-17 02:27:49.283072,505
2026-02-17 02:27:49.291091,500
2026-02-17 02:27:49.299075,503
2026-02-17 02:27:49.307065,505
2026-02-17 02:27:49.315061,505
2026-02-17 02:27:49.323081,517
2026-02-17 02:27:49.331095,519
2026-02-17 02:27:49.339044,512
2026-02-17 02:27:49.347182,517
2026-02-17 02:27:49.355153,519
2026-02-17 02:27:49.363149,519
2026-02-17 02:27:49.371001,521
2026-02-17 02:27:49.379066,514
2026-02-17 02:27:49.387056,513
2026-02-17 02:27:49.395095,505
2026-02-17 02:27:49.403071,516
2026-02-17 02:27:49.411056,516
2026-02-17 02:27:49.419057,521
2026-02-17 02:27:49.427010,527
2026-02-17 02:27:49.435023,519
2026-02-17 02:27:49.443083,519
2026-02-17 02:27:49.451093,516
2026-02-17 02:27:49.459050,512
2026-02-17 02:27:49.467060,524
2026-02-17 02:27:49.475151,512
2026-02-17 02:27:49.483100,516
2026-02-17 02:27:49.491048,515
2026-02-17 02:27:49.499069,505
2026-02-17 02:27:49.507051,508
2026-02-17 02:27:49.515067,505
2026-02-17 02:27:49.523066,510
2026-02-17 02:27:49.531113,508
2026-02-17 02:27:49.539051,506
2026-02-17 02:27:49.547057,510
2026-02-17 02:27:49.555130,517
2026-02-17 02:27:49.563060,520
2026-02-17 02:27:49.571097,516
2026-02-17 02:27:49.579051,520
2026-02-17 02:27:49.587065,518
2026-02-17 02:27:49.595087,513
2026-02-17 02:27:49.603071,511
2026-02-17 02:27:49.611068,504
2026-02-17 02:27:49.619086,515
2026-02-17 02:27:49.627055,522
2026-02-17 02:27:49.635063,514
2026-02-17 02:27:49.643057,514
2026-02-17 02:27:49.651078,509
2026-02-17 02:27:49.659117,510
2026-02-17 02:27:49.667141,500
2026-02-17 02:27:49.675064,504
2026-02-17 02:27:49.683101,504
2026-02-17 02:27:49.691061,510
2026-02-17 02:27:49.699102,508
2026-02-17 02:27:49.707111,510
2026-02-17 02:27:49.715048,509
2026-02-17 02:27:49.723089,515
2026-02-17 02:27:49.731102,511
2026-02-17 02:27:49.739056,507
2026-02-17 02:27:49.747055,512
2026-02-17 02:27:49.755091,515
2026-02-17 02:27:49.763110,510
2026-02-17 02:27:49.771103,503
2026-02-17 02:27:49.779058,511
2026-02-17 02:27:49.787043,519
2026-02-17 02:27:49.795064,515
2026-02-17 02:27:49.803058,513
2026-02-17 02:27:49.811056,505
2026-02-17 02:27:49.819052,508
2026-02-17 02:27:49.827051,509
2026-02-17 02:27:49.835052,504
2026-02-17 02:27:49.843059,512
2026-02-17 02:27:49.851116,516
2026-02-17 02:27:49.859104,511
2026-02-17 02:27:49.867047,515
2026-02-17 02:27:49.875048,507
2026-02-17 02:27:49.883059,514
2026-02-17 02:27:49.890998,513
2026-02-17 02:27:49.899075,502
2026-02-17 02:27:49.907117,515
2026-02-17 02:27:49.915055,512
2026-02-17 02:27:49.923050,514
2026-02-17 02:27:49.931061,515
2026-02-17 02:27:49.939105,515
2026-02-17 02:27:49.947210,513
2026-02-17 02:27:49.955136,514
2026-02-17 02:27:49.963131,522
2026-02-17 02:27:49.971119,510
2026-02-17 02:27:49.979552,509
2026-02-17 02:27:49.987105,521
2026-02-17 02:27:49.995078,517
2026-02-17 02:27:50.003075,518
2026-02-17 02:27:50.011099,514
2026-02-17 02:27:50.019248,516
2026-02-17 02:27:50.027035,512
2026-02-17 02:27:50.035037,504
2026-02-17 02:27:50.043052,496
2026-02-17 02:27:50.051040,506
2026-02-17 02:27:50.059069,506
2026-02-17 02:27:50.067001,514
2026-02-17 02:27:50.075127,503
2026-02-17 02:27:50.083061,509
2026-02-17 02:27:50.091124,506
2026-02-17 02:27:50.099055,510
2026-02-17 02:27:50.107093,513
2026-02-17 02:27:50.115085,508
2026-02-17 02:27:50.123111,511
2026-02-17 02:27:50.131105,519
2026-02-17 02:27:50.139104,514
2026-02-17 02:27:50.147040,517
2026-02-17 02:27:50.155048,512
2026-02-17 02:27:50.163063,513
2026-02-17 02:27:50.171103,519
2026-02-17 02:27:50.179063,502
2026-02-17 02:27:50.187056,514
2026-02-17 02:27:50.195011,509
2026-02-17 02:27:50.203127,518
2026-02-17 02:27:50.210997,514
2026-02-17 02:27:50.219056,509
2026-02-17 02:27:50.227010,516
2026-02-17 02:27:50.235050,506
2026-02-17 02:27:50.243062,499
2026-02-17 02:27:50.251100,512
2026-02-17 02:27:50.259280,507
2026-02-17 02:27:50.267194,519
2026-02-17 02:27:50.275133,511
2026-02-17 02:27:50.283151,515
2026-02-17 02:27:50.291167,513
2026-02-17 02:27:50.299220,512
2026-02-17 02:27:50.307147,515
2026-02-17 02:27:50.315243,499
2026-02-17 02:27:50.323142,514
2026-02-17 02:27:50.331103,515
2026-02-17 02:27:50.339165,511
2026-02-17 02:27:50.347036,512
2026-02-17 02:27:50.355190,512
2026-02-17 02:27:50.363196,510
2026-02-17 02:27:50.371064,518
2026-02-17 02:27:50.379150,508
2026-02-17 02:27:50.387115,510
2026-02-17 02:27:50.395158,511
2026-02-17 02:27:50.403031,516
2026-02-17 02:27:50.411134,515
2026-02-17 02:27:50.419047,521
2026-02-17 02:27:50.427023,521
2026-02-17 02:27:50.435084,513
2026-02-17 02:27:50.443079,519
2026-02-17 02:27:50.451122,517
2026-02-17 02:27:50.459111,517
2026-02-17 02:27:50.467113,518
2026-02-17 02:27:50.475059,512
2026-02-17 02:27:50.483068,514
2026-02-17 02:27:50.491061,508
2026-02-17 02:27:50.499060,506
2026-02-17 02:27:50.507098,513
2026-02-17 02:27:50.515066,514
2026-02-17 02:27:50.523072,520
2026-02-17 02:27:50.531056,522
2026-02-17 02:27:50.539105,523
2026-02-17 02:27:50.547068,509
2026-02-17 02:27:50.555069,493
2026-02-17 02:27:50.563089,509
2026-02-17 02:27:50.571075,517
2026-02-17 02:27:50.579120,509
2026-02-17 02:27:50.587021,507
2026-02-17 02:27:50.595116,502
2026-02-17 02:27:50.603062,497
2026-02-17 02:27:50.611082,480
2026-02-17 02:27:50.619055,482
2026-02-17 02:27:50.627115,481
2026-02-17 02:27:50.635175,476
2026-02-17 02:27:50.643087,480
2026-02-17 02:27:50.651103,479
2026-02-17 02:27:50.659134,482
2026-02-17 02:27:50.667037,466
2026-02-17 02:27:50.675063,461
2026-02-17 02:27:50.683153,474
2026-02-17 02:27:50.691108,487
2026-02-17 02:27:50.699066,484
2026-02-17 02:27:50.707099,504
2026-02-17 02:27:50.715068,507
2026-02-17 02:27:50.723064,520
2026-02-17 02:27:50.731073,525
