timestamp,value
2026-02-13 23:31:09.297124,503
2026-02-13 23:31:09.297470,509
2026-02-13 23:31:09.297590,518
2026-02-13 23:31:09.297693,528
2026-02-13 23:31:09.297788,535
2026-02-13 23:31:09.297880,539
2026-02-13 23:31:09.297969,541
2026-02-13 23:31:09.298058,534
2026-02-13 23:31:09.298148,525
2026-02-13 23:31:09.298235,514
2026-02-13 23:31:09.298322,509
2026-02-13 23:31:09.298413,505
2026-02-13 23:31:09.298505,508
2026-02-13 23:31:09.298595,519
2026-02-13 23:31:09.298683,529
2026-02-13 23:31:09.298771,535
2026-02-13 23:31:09.298878,534
2026-02-13 23:31:09.298958,526
2026-02-13 23:31:09.299004,514
2026-02-13 23:31:09.299051,506
2026-02-13 23:31:09.299105,498
2026-02-13 23:31:09.299158,502
2026-02-13 23:31:09.299203,514
2026-02-13 23:31:09.299247,524
2026-02-13 23:31:09.299292,530
2026-02-13 23:31:09.299340,536
2026-02-13 23:31:09.299385,541
2026-02-13 23:31:09.299429,540
2026-02-13 23:31:09.299473,532
2026-02-13 23:31:09.299516,519
2026-02-13 23:31:09.299559,512
2026-02-13 23:31:09.299602,506
2026-02-13 23:31:09.299646,506
2026-02-13 23:31:09.299690,514
2026-02-13 23:31:09.299733,525
2026-02-13 23:31:09.299781,533
2026-02-13 23:31:09.299826,539
2026-02-13 23:31:09.299871,538
2026-02-13 23:31:09.299915,531
2026-02-13 23:31:09.299958,522
2026-02-13 23:31:09.300003,513
2026-02-13 23:31:09.300053,508
2026-02-13 23:31:09.300098,507
2026-02-13 23:31:09.300141,510
2026-02-13 23:31:09.300185,521
2026-02-13 23:31:09.300228,528
2026-02-13 23:31:09.300271,534
2026-02-13 23:31:09.300315,534
2026-02-13 23:31:09.300358,519
2026-02-13 23:31:09.300402,514
2026-02-13 23:31:09.300445,512
2026-02-13 23:31:09.300496,512
2026-02-13 23:31:09.300541,510
2026-02-13 23:31:09.300585,513
2026-02-13 23:31:09.300629,519
2026-02-13 23:31:09.300675,531
2026-02-13 23:31:09.300719,537
2026-02-13 23:31:09.300763,541
2026-02-13 23:31:09.300807,538
2026-02-13 23:31:09.300850,533
2026-02-13 23:31:09.300893,526
2026-02-13 23:31:09.300937,518
2026-02-13 23:31:09.300980,511
2026-02-13 23:31:09.301023,510
2026-02-13 23:31:09.301067,518
2026-02-13 23:31:09.301124,524
2026-02-13 23:31:09.301165,533
2026-02-13 23:31:09.301198,531
2026-02-13 23:31:09.301233,524
2026-02-13 23:31:09.301267,523
2026-02-13 23:31:09.301300,517
2026-02-13 23:31:09.301334,512
2026-02-13 23:31:09.301367,512
2026-02-13 23:31:09.301401,513
2026-02-13 23:31:09.301434,522
2026-02-13 23:31:09.301467,530
2026-02-13 23:31:09.301505,535
2026-02-13 23:31:09.301541,540
2026-02-13 23:31:09.301576,540
2026-02-13 23:31:09.301610,534
2026-02-13 23:31:09.301643,530
2026-02-13 23:31:09.301677,522
2026-02-13 23:31:09.301711,514
2026-02-13 23:31:09.301744,511
