timestamp,value
2026-02-17 23:13:20.536113,513
2026-02-17 23:13:20.536382,495
2026-02-17 23:13:20.536505,520
2026-02-17 23:13:20.536612,520
2026-02-17 23:13:20.536709,515
2026-02-17 23:13:20.536804,510
2026-02-17 23:13:20.536896,517
2026-02-17 23:13:20.536986,517
2026-02-17 23:13:20.537074,518
2026-02-17 23:13:20.537163,514
2026-02-17 23:13:20.537262,509
2026-02-17 23:13:20.537351,522
2026-02-17 23:13:20.537439,520
2026-02-17 23:13:20.537524,510
2026-02-17 23:13:20.537610,517
2026-02-17 23:13:20.537711,510
2026-02-17 23:13:20.537799,520
2026-02-17 23:13:20.537885,514
2026-02-17 23:13:20.537972,522
2026-02-17 23:13:20.538059,512
2026-02-17 23:13:20.538145,505
2026-02-17 23:13:20.538232,510
2026-02-17 23:13:20.538318,514
2026-02-17 23:13:20.538403,512
2026-02-17 23:13:20.538489,508
2026-02-17 23:13:20.538574,518
2026-02-17 23:13:20.538675,521
2026-02-17 23:13:20.538812,510
2026-02-17 23:13:20.538852,519
2026-02-17 23:13:20.538887,515
2026-02-17 23:13:20.538921,505
2026-02-17 23:13:20.538954,513
2026-02-17 23:13:20.538987,519
2026-02-17 23:13:20.539020,489
2026-02-17 23:13:20.539061,501
2026-02-17 23:13:20.539094,508
2026-02-17 23:13:20.539126,518
2026-02-17 23:13:20.539159,507
2026-02-17 23:13:20.539191,512
2026-02-17 23:13:20.539223,503
2026-02-17 23:13:20.539268,519
2026-02-17 23:13:20.539301,502
2026-02-17 23:13:20.539333,525
2026-02-17 23:13:20.539365,488
2026-02-17 23:13:20.539397,531
2026-02-17 23:13:20.539429,540
2026-02-17 23:13:20.539461,513
2026-02-17 23:13:20.539493,508
2026-02-17 23:13:20.546891,559
2026-02-17 23:13:20.554794,530
2026-02-17 23:13:20.562831,501
2026-02-17 23:13:20.570830,500
2026-02-17 23:13:20.578818,572
2026-02-17 23:13:20.586814,534
2026-02-17 23:13:20.594755,515
2026-02-17 23:13:20.602748,479
2026-02-17 23:13:20.610781,505
2026-02-17 23:13:20.618783,516
2026-02-17 23:13:20.626809,519
2026-02-17 23:13:20.634769,525
2026-02-17 23:13:20.642762,504
2026-02-17 23:13:20.650796,513
2026-02-17 23:13:20.658812,520
